"Instrument","Nom=","nanodac",,"Numéro de série =","0",,"Version du logiciel = ","V8.14"
,"Adresse MAC =","00:0A:8D:FF:12:F2",,"Langue =","FR",,"Pays =","FR",,"Fuseau horaire =","GMT"
"NomGroupe","Group 1"
"Temperature","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC1","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC2","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC3","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"Consigne","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"Puissance de chauffa","Bas =",0,"Haut =",100,"Unité =",""
"Date/Heure",,"Temperature","TC1","TC2","TC3","Consigne","Puissance de chauffa"
,,"°C","°C","°C","°C","°C",""
"19/04/21 06:35:51.625","Démarrage du système"
"19/04/21 06:35:51.625","Version de config: 4"
"19/04/21 06:35:51.625","Version de sécurité: 2"
"19/04/21 06:35:51.625","Paramètres BDD valides"
"19/04/21 06:35:51.625","Section nvol valide"
"19/04/21 07:07:40",,29.2,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:07:50",,29.2,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:08:00",,29.2,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:08:10",,29.2,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:08:20",,29.2,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:08:30",,29.2,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:08:40",,29.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:08:50",,29.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:09:00",,29.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:09:10",,29.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:09:20",,29.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:09:30",,29.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:09:40",,29.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:09:50",,29.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:10:00",,29.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:10:10",,29.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:10:20",,29.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:10:30",,29.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:10:40",,29.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:10:50",,29.5,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 07:11:00",,29.5,">Gamme",">Gamme",">Gamme",0.0,0
