"Instrument","Nom=","nanodac",,"Numéro de série =","0",,"Version du logiciel = ","V8.14"
,"Adresse MAC =","00:0A:8D:FF:12:F2",,"Langue =","FR",,"Pays =","FR",,"Fuseau horaire =","GMT"
"NomGroupe","Group 1"
"Temperature","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC1","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC2","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC3","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"Consigne","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"Puissance de chauffa","Bas =",0,"Haut =",100,"Unité =",""
"Date/Heure",,"Temperature","TC1","TC2","TC3","Consigne","Puissance de chauffa"
,,"°C","°C","°C","°C","°C",""
"03/05/21 07:39:56.625","Démarrage du système"
"03/05/21 07:39:56.625","Version de config: 4"
"03/05/21 07:39:56.625","Version de sécurité: 2"
"03/05/21 07:39:56.625","Paramètres BDD valides"
"03/05/21 07:39:56.625","Section nvol valide"
"03/05/21 07:53:20",,27.3,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:53:30",,27.3,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:53:40",,27.4,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:53:50",,27.4,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:54:00",,27.4,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:54:10",,27.4,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:54:20",,27.4,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:54:30",,27.4,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:54:40",,27.4,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:54:50",,27.5,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:55:00",,27.5,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:55:10",,27.5,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:55:20",,27.5,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:55:30",,27.5,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:55:40",,27.5,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:55:50",,27.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:56:00",,27.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:56:10",,27.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:56:20",,27.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:56:30",,27.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:56:40",,27.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:56:50",,27.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:57:00",,27.7,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:57:10",,27.7,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:57:20",,27.7,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:57:30",,27.7,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:57:40",,27.7,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:57:50",,27.7,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:58:00",,27.7,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:58:10",,27.7,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:58:20",,27.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:58:30",,27.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:58:40",,27.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:58:50",,27.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:59:00",,27.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:59:10",,27.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:59:20",,27.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:59:30",,27.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:59:40",,27.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:59:50",,27.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:00:00",,27.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:00:10",,27.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:00:20",,27.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:00:30",,28.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:00:40",,28.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:00:50",,28.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:01:00",,28.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:01:10",,28.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:01:20",,28.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:01:30",,28.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:01:40",,28.1,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:01:50",,28.1,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:02:00",,28.1,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:02:10",,28.1,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:02:20",,28.1,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:02:30",,28.1,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:02:40",,28.1,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:02:50",,28.2,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:03:00",,28.2,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:03:10",,28.2,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:03:20",,28.2,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:03:30",,28.2,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:03:40",,28.2,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:03:50",,28.2,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:04:00",,28.3,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:04:10",,28.3,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:04:20",,28.3,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:04:30",,28.3,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:04:40",,28.3,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:04:50",,28.3,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:05:00",,28.3,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:05:10",,28.3,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:05:20",,28.4,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:05:30",,28.4,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:05:40",,28.4,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:05:50",,28.4,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:06:00",,28.4,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:06:10",,28.4,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:06:20",,28.4,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:06:30",,28.5,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:06:40",,28.5,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:06:50",,28.5,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:07:00",,28.5,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:07:10",,28.5,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:07:20",,28.5,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:07:30",,28.5,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:07:40",,28.5,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:07:50",,28.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:08:00",,28.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:08:10",,28.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:08:20",,28.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:08:30",,28.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:08:40",,28.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:08:50",,28.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:09:00",,28.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:09:10",,28.7,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:09:20",,28.7,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:09:30",,28.7,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:09:40",,28.7,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:09:50",,28.7,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 08:10:00",,28.7,">Gamme",">Gamme",">Gamme",0.0,0
